a2ps 4.14-7
ttf-liberation 2.00.1-6
ttf-roboto 5:131072-1
tumbler 0.1.31-2
unzip 6.0-12
usbmuxd 1.1.0-2
usbutils 008-1
util-linux 2.28.2-2
vertex-icons-git r16.f27e47e-4
vertex-themes 20161009-1
vi 1:070224-2
violetumleditor 2.1.0-2
virt-manager 1.4.0-2
virtualbox 5.1.12-1
vlc 2.2.4-5
wd719x-firmware 1-3
which 2.21-2
wine 2.0rc2-1
winetricks 20161107-2
winusb 1.0.11-4
wpa_supplicant 1:2.6-4
x86_energy_perf_policy 4.8-1
xarchiver 0.5.4.7-1
xbindkeys 1.8.6-1
xbindkeys_config-gtk2 0.1.3-3
xclip 0.13-1
xf86-input-libinput 0.22.0-1
xf86-input-synaptics 1.8.99.1-1
xf86-video-intel 1:2.99.917+746+g169c74f-1
xfsprogs 4.8.0-1
xorg-server 1.18.4-1
xorg-server-utils 7.6-4
xorg-server-xephyr 1.18.4-1
xorg-twm 1.0.9-1
xorg-xclock 1.0.7-1
xorg-xev 1.2.2-1
xorg-xinit 1.3.4-4
xournal 0.4.8-2
xss-lock-git 0.3.0.r4.g1e158fb-1
xterm 327-1
yaourt 1.8.1-1
zip 3.0-7
zsnes 1.51-19
